Date of Departure,Leave Without Pay,Master Total Deduction,Actual Total Deduction,Actual Net Pay,Retirement Benefit Pay Amount,Employee Number,Employee Name,Bi-Week,Bank Account Number of Employee,Payment Reference Date,Social Security Number,Date of Birth,Actual Total Allowance,Leave Availed,Checker,Payment Reference Number,Maker,Leave Balance,Department,Date of Employment,Grade,Designation,Month,Net Pay Amount,Actual Staff Loan Recovery,Actual Federal Withholding Tax Deduction,Actual Performance Incentive,Actual Medicare Tax,Actual Social Security Tax
2025-01-18,0,845,4802,7193,4822,E8667,Employee 1,16,4616745608,2025-09-28,899689150,1972-02-27,3189,7,Checker 3,PRN-5386,Maker 2,19,Department 7,2011-12-13,B,Designation 8,June,9218,1038,477,1016,171,274
2025-01-19,10,3746,2023,9089,3336,E3670,Employee 2,21,1682639229,2025-01-07,357030247,1970-01-24,6160,7,Checker 5,PRN-3138,Maker 4,18,Department 10,2015-03-23,C,Designation 3,July,6986,1654,364,1356,183,306
2025-01-20,3,3345,2056,3675,2165,E9506,Employee 3,7,8703046262,2025-01-20,971803642,1984-06-02,3492,1,Checker 4,PRN-9794,Maker 4,19,Department 6,2018-04-21,C,Designation 4,March,6714,1999,124,1884,162,372
2025-01-21,9,4889,3291,5181,2939,E5120,Employee 4,16,4285759609,2025-03-27,290044425,1991-01-17,4699,6,Checker 4,PRN-5125,Maker 2,18,Department 10,2011-07-07,B,Designation 9,June,4293,797,429,2571,189,204
2025-09-28,8,2398,1064,9032,3677,E4594,Employee 5,9,4637426986,2025-09-28,500712062,1991-01-24,6119,4,Checker 3,PRN-6599,Maker 3,1,Department 5,2021-02-11,A,Designation 9,February,4282,1669,436,1370,92,429
2025-09-29,5,1723,1981,3062,3695,E2169,Employee 6,13,6921860091,2025-06-25,259361046,1998-01-12,6776,0,Checker 3,PRN-7015,Maker 3,5,Department 4,2022-08-25,E,Designation 4,February,8111,1984,305,1768,178,240
2025-09-30,2,2842,4420,8002,2803,E1894,Employee 7,3,4460703702,2025-02-01,588108755,1992-01-18,3327,9,Checker 1,PRN-3291,Maker 1,16,Department 6,2010-12-28,D,Designation 5,October,8595,895,260,1719,197,219
2025-10-08,9,4075,1238,7261,2497,E1624,Employee 8,25,5261735209,2025-10-08,403659651,1992-10-23,2260,8,Checker 4,PRN-5664,Maker 3,6,Department 6,2017-10-01,C,Designation 6,July,3085,1786,166,1203,82,178
2025-10-09,0,542,3841,5910,3250,E8206,Employee 9,14,2063024857,2025-06-18,376173732,1985-03-17,4966,0,Checker 3,PRN-1349,Maker 5,11,Department 4,2023-07-06,C,Designation 8,August,6619,729,216,1099,141,355
2025-10-10,2,4352,1238,4541,2816,E7541,Employee 10,13,8639724394,2025-02-05,549129820,1982-04-20,2790,2,Checker 1,PRN-4781,Maker 2,3,Department 5,2010-05-24,D,Designation 1,April,6839,1319,252,2203,101,476
2025-10-11,3,2561,3905,7166,2315,E4304,Employee 11,20,4864688427,2025-03-26,339537514,1962-08-26,5128,6,Checker 5,PRN-2900,Maker 4,1,Department 5,2020-08-06,D,Designation 7,December,5400,470,156,2817,105,403
2025-10-12,9,1922,4737,4819,3829,E9800,Employee 12,13,5970096460,2025-05-26,863507245,1992-08-28,4098,5,Checker 4,PRN-8036,Maker 2,9,Department 2,2016-10-27,E,Designation 4,March,8598,1075,325,1860,115,208
2025-10-13,3,4769,2138,9702,1007,E8717,Employee 13,1,5217048601,2025-01-15,829404109,1964-11-13,5903,3,Checker 2,PRN-2053,Maker 1,12,Department 10,2013-10-10,C,Designation 4,February,8213,1529,265,2746,160,269
2025-10-14,10,3472,4149,5425,1095,E5280,Employee 14,5,5684684850,2025-09-28,450705256,1997-05-28,2254,6,Checker 4,PRN-1715,Maker 1,14,Department 5,2010-06-23,B,Designation 2,March,8884,1241,216,2162,99,164
2025-02-23,4,2726,2732,4263,1971,E8568,Employee 15,1,6584946497,2025-02-23,897938597,1984-03-22,4235,1,Checker 4,PRN-2193,Maker 3,8,Department 8,2021-04-21,B,Designation 8,August,4919,1079,207,807,162,439
2025-02-24,1,770,2722,5860,2364,E2344,Employee 16,1,4524745475,2025-12-04,475253667,1993-11-23,6971,2,Checker 1,PRN-7372,Maker 2,3,Department 1,2012-11-07,A,Designation 6,June,7665,1096,289,1544,99,363
2025-02-25,5,1995,4799,6544,4949,E9966,Employee 17,23,2718412890,2025-06-11,167707240,1972-11-02,3495,3,Checker 4,PRN-3737,Maker 2,7,Department 7,2018-08-02,D,Designation 7,October,3874,1948,439,938,116,327
2025-02-26,2,2889,3065,6492,2684,E6937,Employee 18,23,5756196095,2025-09-15,591729963,1986-08-10,3649,10,Checker 2,PRN-5278,Maker 1,11,Department 2,2016-04-18,B,Designation 5,June,4481,1789,491,1635,112,315
2025-02-27,7,4023,3736,5886,2415,E5353,Employee 19,1,3800774813,2025-08-09,759621543,1992-07-22,6157,2,Checker 3,PRN-4434,Maker 3,12,Department 10,2014-10-20,D,Designation 4,November,6738,1978,365,2758,150,406
2025-02-28,2,3508,1088,6591,2813,E1527,Employee 20,17,2508504833,2025-01-27,459229670,1998-08-26,3914,8,Checker 2,PRN-4128,Maker 4,15,Department 9,2020-07-22,D,Designation 10,February,5933,1671,139,2411,135,204
